"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-09.nlogo"
"nu_of_neighborhoods_3_4_5_6"
"06/15/2021 17:37:16:366 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","no-of-neighborhoods","[step]","community-formation-time-list","energy-diversity","insulation-improvement","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-tea","count-ates","count-woodpellet","count-solar","count-heatpump"
"11","3","239","[37 37 49]","[0.3 0.23 0.3]","[0.5466666666666669 0.5566666666666666 0.5533333333333332]","[76.15580896287548 73.58947739774808 80.87260472158644]","[129.86553433848403 129.08983379270038 133.5830212927371]","[0.38166666666666665 0.45666666666666667 0.43666666666666665]","[0.35 0.2633333333333333 0.28833333333333333]","[0.245 0.23166666666666666 0.22166666666666668]","[0.023333333333333334 0.04833333333333333 0.05333333333333334]","[115.2957816233789 117.92416923216923 110.28158690832798]","[0.630706645318307 0.37226497142122744 0.9113365956662494]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[1 0 1]","[431 440 418]"
"12","3","239","[37 37 37]","[0.31 0.29 0.33]","[0.5633333333333335 0.5216666666666665 0.5633333333333335]","[76.85492460080785 72.93684892056561 77.02124522104569]","[130.98040942222602 127.49598667374282 131.1903189639627]","[0.45666666666666667 0.45166666666666666 0.3883333333333333]","[0.35 0.365 0.35]","[0.16333333333333333 0.17333333333333334 0.245]","[0.03 0.01 0.016666666666666666]","[114.50747597874742 118.70430547886835 114.32436259517067]","[0.36021319045685785 0.5744934294896482 0.7635481375667482]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[2 3 0]","[446 448 429]"
"14","3","239","[37 37 37]","[0.4 0.28 0.27]","[0.5216666666666665 0.5616666666666665 0.5433333333333334]","[79.68907234505564 76.22646466868149 75.58726249883802]","[132.10906014987276 132.3717514997114 130.647852735885]","[0.37833333333333335 0.5333333333333333 0.33666666666666667]","[0.37666666666666665 0.2683333333333333 0.43333333333333335]","[0.19166666666666668 0.15833333333333333 0.21666666666666667]","[0.05333333333333334 0.04 0.013333333333333334]","[111.58303617628788 115.02462854467474 115.80174261562459]","[0.3425741960679694 0.3579023417491369 0.5396380193198346]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[1 2 2]","[433 456 441]"
"13","3","239","[37 37 37]","[0.19 0.33 0.21]","[0.5783333333333331 0.5750000000000002 0.5566666666666666]","[72.2300338969067 79.33877493034822 73.36169466889588]","[127.69486340946564 131.44472178987368 131.53360134480258]","[0.4716666666666667 0.45 0.39]","[0.325 0.24833333333333332 0.36333333333333334]","[0.165 0.27166666666666667 0.21666666666666667]","[0.03833333333333333 0.03 0.03]","[119.39521036366916 111.98648065979509 117.95645055685314]","[0.6156402170329914 0.42135873734762425 0.6568234977961901]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[1 1 1]","[486 424 422]"
"15","3","239","[37 37 37]","[0.25 0.31 0.22]","[0.5716666666666663 0.5616666666666665 0.6133333333333333]","[73.83520695990198 76.75348104196696 74.23049940665923]","[130.34951050761194 130.0226016259427 133.92570794301258]","[0.355 0.36666666666666664 0.36]","[0.435 0.3283333333333333 0.4166666666666667]","[0.18666666666666668 0.27166666666666667 0.21833333333333332]","[0.023333333333333334 0.03333333333333333 0.005]","[117.57766553282242 114.68554416129099 116.89627729123316]","[0.4706364574091816 0.36279903897663973 0.446209314798342]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[1 4 0]","[448 428 439]"
"16","3","239","[37 37 37]","[0.45 0.37 0.34]","[0.5233333333333334 0.5349999999999997 0.54]","[84.42718275249345 77.63783745783333 76.72420178572385]","[132.53981303819256 132.1593063008746 131.96681548100636]","[0.39166666666666666 0.3233333333333333 0.57]","[0.32666666666666666 0.385 0.24]","[0.25666666666666665 0.24333333333333335 0.15833333333333333]","[0.025 0.04833333333333333 0.03166666666666667]","[106.8104655377844 113.63025137143002 114.55928630912882]","[0.4780955857954233 0.5629972817141514 0.3665021663517268]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[3 1 1]","[411 414 433]"
"17","3","239","[37 37 37]","[0.19 0.28 0.36]","[0.5516666666666667 0.5800000000000001 0.561666666666667]","[71.73108305191049 76.14773446547963 78.92630770245717]","[127.68356388661309 130.99738080237887 132.65028574949451]","[0.42333333333333334 0.38666666666666666 0.37833333333333335]","[0.38 0.37833333333333335 0.35]","[0.185 0.2 0.22666666666666666]","[0.011666666666666667 0.035 0.045]","[119.89506517049364 115.21330840366345 112.3025027709165]","[0.3415702604437829 0.418771865163285 0.42235795857581004]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[0 0 1]","[446 443 426]"
"18","3","239","[37 37 37]","[0.33 0.39 0.35]","[0.5633333333333335 0.5450000000000004 0.5266666666666664]","[81.57329020138175 83.13734955204887 80.53558197377409]","[135.3322820975055 134.21213529532997 131.65042031038323]","[0.5333333333333333 0.45666666666666667 0.44333333333333336]","[0.18833333333333332 0.29833333333333334 0.345]","[0.21333333333333335 0.18666666666666668 0.175]","[0.065 0.058333333333333334 0.03666666666666667]","[109.44096056415114 107.96651295765811 110.77321773472852]","[0.491918123029808 0.8669862035653696 0.40601076050321083]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[0 3 2]","[424 414 451]"
"19","3","239","[37 37 37]","[0.34 0.38 0.28]","[0.5666666666666669 0.5150000000000001 0.5666666666666664]","[79.45491720142205 81.54895982867488 74.46880226406209]","[132.35082473298488 132.43602861495336 131.06677936351454]","[0.33 0.365 0.4066666666666667]","[0.3616666666666667 0.3433333333333333 0.345]","[0.25666666666666665 0.23 0.21833333333333332]","[0.051666666666666666 0.06166666666666667 0.03]","[111.79785015327242 109.69699121546219 116.88668872019025]","[0.3118702507284126 0.6708818219770523 0.38802359038205175]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[1 3 0]","[425 413 447]"
"20","3","239","[37 37 37]","[0.28 0.29 0.27]","[0.5716666666666668 0.56 0.5500000000000003]","[75.66283227086399 76.967085364202 76.00306911613943]","[129.8589031404946 132.80652122389114 129.93999706578668]","[0.43666666666666665 0.43 0.4033333333333333]","[0.32 0.3383333333333333 0.32666666666666666]","[0.20333333333333334 0.21166666666666667 0.255]","[0.04 0.02 0.015]","[115.78928881122953 114.24922627122014 115.44256445193098]","[0.2974754078505639 0.3885769593917131 0.4488182318348038]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[2 2 1]","[425 442 425]"
"21","4","239","[37 37 37 37]","[0.4 0.25 0.25 0.24]","[0.5299999999999998 0.5566666666666666 0.561666666666667 0.5750000000000002]","[82.59095135792025 74.38981979284716 74.86228692053812 74.7274536161471]","[132.12795906586342 129.8105504623256 131.30521646597273 131.82606009631283]","[0.3516666666666667 0.4583333333333333 0.4683333333333333 0.4083333333333333]","[0.25666666666666665 0.3016666666666667 0.31 0.35333333333333333]","[0.325 0.21666666666666667 0.165 0.22666666666666666]","[0.06666666666666667 0.023333333333333334 0.056666666666666664 0.011666666666666667]","[108.67964525014402 117.06616950350005 116.47412909551734 116.56729490948123]","[0.6648166965417462 0.3849376024263299 0.6610363914120587 0.3763254350785239]","[1 1 1 1]","[0 0 0 0]","[0 0 0 0]","[0 0 0 0]","[1 1 4 0]","[406 428 434 452]"
"22","4","239","[37 37 49 37]","[0.36 0.29 0.36 0.4]","[0.5233333333333334 0.5816666666666666 0.5533333333333332 0.5249999999999999]","[79.43701949886854 78.94113038984536 89.1185315523797 83.14486631761324]","[131.4769850792744 130.605735775124 133.561432399703 133.49779888655584]","[0.29333333333333333 0.5233333333333333 0.5066666666666667 0.32666666666666666]","[0.4216666666666667 0.31833333333333336 0.29333333333333333 0.42333333333333334]","[0.25333333333333335 0.13666666666666666 0.16 0.22166666666666668]","[0.03166666666666667 0.021666666666666667 0.04 0.028333333333333332]","[111.88565502812294 112.45124408147805 102.0373871889773 108.01614310479556]","[0.5242004656497001 0.21918515902343577 0.40383951541840934 0.4097436532635355]","[0 0 0 0]","[0 0 0 0]","[1 1 1 1]","[0 0 0 0]","[1 3 1 2]","[399 442 394 419]"
"24","4","239","[37 49 37 37]","[0.41 0.4 0.36 0.32]","[0.4950000000000001 0.5466666666666669 0.5483333333333333 0.5599999999999996]","[81.78405847610989 86.41239803520439 81.22766764246727 79.79899522926607]","[128.3705096189726 133.63090919541463 131.56149624980372 132.81414783837067]","[0.43833333333333335 0.38333333333333336 0.4483333333333333 0.43333333333333335]","[0.33 0.28 0.37333333333333335 0.325]","[0.17833333333333334 0.265 0.16 0.23166666666666666]","[0.05333333333333334 0.07166666666666667 0.018333333333333333 0.01]","[109.78713408770565 104.7379625624959 110.08824599088169 111.41670627699752]","[0.35212242726073695 0.48127122941820055 0.5722118230252231 0.3750424994123319]","[0 0 0 0]","[0 0 0 0]","[1 1 1 1]","[0 0 0 0]","[2 4 2 0]","[437 412 453 442]"
"23","4","239","[37 37 37 37]","[0.34 0.38 0.38 0.33]","[0.5150000000000001 0.563333333333333 0.5483333333333333 0.563333333333333]","[78.01128758386791 80.65944501603462 77.72402686885297 76.29951507576212]","[132.5686819205023 133.95137957909174 132.02254267546016 130.4454341052085]","[0.45 0.5283333333333333 0.3933333333333333 0.4766666666666667]","[0.35333333333333333 0.23666666666666666 0.395 0.3333333333333333]","[0.17166666666666666 0.16333333333333333 0.195 0.18333333333333332]","[0.025 0.07166666666666667 0.016666666666666666 0.006666666666666667]","[113.2240511958253 110.46527795097134 113.55500305044364 115.10568352915443]","[0.456906082129093 0.38818226740320483 0.4720594064265104 0.7759372063463683]","[1 1 1 1]","[0 0 0 0]","[0 0 0 0]","[0 0 0 0]","[0 2 6 2]","[437 432 436 444]"
"25","4","239","[37 49 37 37]","[0.51 0.43 0.48 0.47]","[0.46999999999999975 0.5233333333333334 0.4916666666666667 0.5116666666666667]","[87.18400937453535 88.46436724620679 84.81828257559864 86.83290319724942]","[133.1572800338102 137.51766680336524 131.154462338279 133.95355589139896]","[0.48333333333333334 0.3333333333333333 0.4116666666666667 0.4216666666666667]","[0.22166666666666668 0.38166666666666665 0.32666666666666666 0.29833333333333334]","[0.23666666666666666 0.265 0.22166666666666668 0.22333333333333333]","[0.058333333333333334 0.02 0.04 0.056666666666666664]","[104.00424155609308 102.37505274285724 106.53019377067231 104.29164566477198]","[0.4859711256723431 0.709586470463705 1.0439467597636551 0.6792880342163188]","[0 0 0 0]","[0 0 0 0]","[1 1 1 1]","[0 0 0 0]","[3 2 3 1]","[385 368 404 408]"
"27","4","239","[37 49 37 37]","[0.43 0.42 0.37 0.41]","[0.5016666666666669 0.5300000000000002 0.56 0.5016666666666669]","[84.45333382335964 87.45683911956914 82.8491996392637 83.15428709606257]","[133.9943374393877 132.66424254142626 130.4838575531826 131.31794242747984]","[0.4033333333333333 0.535 0.3616666666666667 0.54]","[0.265 0.215 0.36 0.27666666666666667]","[0.28 0.2 0.24666666666666667 0.16166666666666665]","[0.051666666666666666 0.05 0.03166666666666667 0.021666666666666667]","[106.66795251482255 103.77085481045013 108.55292508981496 108.18111084307233]","[0.607542327076364 0.84985858088767 0.5251953437761248 0.2308720063571899]","[0 0 0 0]","[0 0 0 0]","[1 1 1 1]","[0 0 0 0]","[4 0 0 1]","[402 413 402 440]"
"26","4","239","[37 37 37 37]","[0.45 0.39 0.48 0.42]","[0.5016666666666665 0.5183333333333331 0.5 0.56]","[83.29516744602954 82.51173417974107 87.37686215318645 88.93223222829359]","[130.3566008396043 131.523258318608 135.0539704728868 134.6796398786495]","[0.375 0.54 0.23333333333333334 0.4533333333333333]","[0.41333333333333333 0.25666666666666665 0.44666666666666666 0.31166666666666665]","[0.20333333333333334 0.17 0.2866666666666667 0.21333333333333335]","[0.008333333333333333 0.03333333333333333 0.03333333333333333 0.021666666666666667]","[108.11713782013535 108.80723848810361 103.65965354231597 102.13422991474775]","[0.40885693593350664 0.31759089610413427 0.38340466374837645 0.425411026084183]","[0 0 0 0]","[0 0 0 0]","[1 1 1 1]","[0 0 0 0]","[1 2 1 2]","[426 415 397 411]"
