"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-09.nlogo"
"nu_of_neighborhoods_3_4_5_6"
"06/15/2021 23:14:32:277 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","no-of-neighborhoods","[step]","community-formation-time-list","energy-diversity","insulation-improvement","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump"
"11","3","239","[37 37 37]","[0.32 0.36 0.33]","[0.5416666666666665 0.5450000000000004 0.56]","[75.7386387272516 77.653334075712 76.91803078947123]","[131.27383326765184 132.62353268167473 134.08257331211993]","[0.42833333333333334 0.49333333333333335 0.38666666666666666]","[0.2916666666666667 0.205 0.38]","[0.21833333333333332 0.25166666666666665 0.21]","[0.06166666666666667 0.05 0.023333333333333334]","[115.60028794466945 113.5776166430873 114.19619667889239]","[0.5188669992648253 0.39828071871738213 0.6033846004284271]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[2 2 3]","[421 421 427]"
"13","3","239","[37 49 37]","[0.36 0.38 0.34]","[0.5266666666666664 0.5766666666666667 0.5416666666666665]","[84.24509469704559 91.17133944700441 84.94960236491083]","[130.76213422617886 135.26125809199203 132.8286068037893]","[0.405 0.48833333333333334 0.48333333333333334]","[0.355 0.31166666666666665 0.2816666666666667]","[0.18833333333333332 0.17666666666666667 0.205]","[0.051666666666666666 0.023333333333333334 0.03]","[107.13476789819343 99.84859323896946 106.26494242411927]","[0.24805023830972026 0.3487823896751289 0.29734381111994923]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[0 1 1]","[443 431 433]"
"12","3","239","[37 37 37]","[0.37 0.45 0.38]","[0.5383333333333336 0.5 0.5283333333333333]","[84.97592658033697 86.78894751405457 81.99591050939362]","[132.50081071880345 131.26644589563344 134.35619439459234]","[0.40166666666666667 0.335 0.30666666666666664]","[0.3566666666666667 0.3566666666666667 0.365]","[0.19333333333333333 0.3 0.30666666666666664]","[0.04833333333333333 0.008333333333333333 0.021666666666666667]","[106.26484189549214 104.55057014762816 109.0964272723722]","[0.4121341414731162 0.4403345885234703 0.5320508540760065]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 0 6]","[417 408 391]"
"14","3","239","[37 37 37]","[0.44 0.54 0.52]","[0.5249999999999999 0.5016666666666665 0.4733333333333336]","[87.92897531815237 89.36530159862187 86.81452657328094]","[134.07916487207547 132.55903960626003 131.41844756833348]","[0.395 0.3016666666666667 0.41]","[0.375 0.415 0.2833333333333333]","[0.22333333333333333 0.24666666666666667 0.25833333333333336]","[0.006666666666666667 0.03666666666666667 0.04833333333333333]","[103.185524825415 101.8708085662106 104.51283095458572]","[0.3865727676337171 1.1908465185436325 0.6077693741049272]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[0 2 0]","[409 410 388]"
"15","3","239","[37 37 37]","[0.2 0.26 0.23]","[0.6000000000000001 0.5566666666666666 0.5733333333333337]","[71.73001795791862 73.20181118373173 73.62880069828596]","[133.36706286519774 133.08644604770893 131.39020624345378]","[0.5616666666666666 0.44166666666666665 0.44666666666666666]","[0.25 0.2833333333333333 0.34]","[0.17333333333333334 0.23166666666666666 0.17166666666666666]","[0.015 0.043333333333333335 0.041666666666666664]","[119.441450346199 117.99210646578479 117.7008161355709]","[0.5015198723084512 0.49647711204123546 0.3199934174017198]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[3 2 3]","[436 413 455]"
"16","3","239","[37 37 37]","[0.27 0.2 0.33]","[0.5733333333333333 0.565 0.5283333333333333]","[74.86287396597713 71.2253186374774 74.91319493886932]","[131.16034803465152 128.33471928062303 131.03721374831795]","[0.5116666666666667 0.48333333333333334 0.35]","[0.22833333333333333 0.325 0.37833333333333335]","[0.18666666666666668 0.17666666666666667 0.24666666666666667]","[0.07333333333333333 0.015 0.025]","[116.48513152458415 120.34873715340609 116.44466129459845]","[0.3579522806908165 1.0047575980632364 0.5682853594799404]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[2 3 1]","[445 458 411]"
"17","3","239","[37 37 37]","[0.31 0.27 0.36]","[0.5266666666666668 0.565 0.5450000000000004]","[73.00008034019767 72.31017963033048 75.70995393552944]","[128.87499716024206 130.33502094880774 129.4944134079888]","[0.435 0.5033333333333333 0.4716666666666667]","[0.335 0.29333333333333333 0.285]","[0.18333333333333332 0.17833333333333334 0.18666666666666668]","[0.04666666666666667 0.025 0.056666666666666664]","[118.53075322031636 119.10385202709828 115.77132632516484]","[0.6081993709021525 0.6243053159863317 0.4020783738709671]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[0 1 1]","[448 454 446]"
"18","3","239","[37 37 37]","[0.25 0.28 0.38]","[0.5416666666666665 0.5333333333333332 0.5366666666666666]","[73.08076559324411 73.31842170997514 77.96011348157191]","[129.6538193514042 128.83931234032582 128.27670506945384]","[0.485 0.38333333333333336 0.39166666666666666]","[0.31 0.4083333333333333 0.27666666666666667]","[0.18 0.19833333333333333 0.2633333333333333]","[0.025 0.01 0.06833333333333333]","[118.38776219197688 118.21526663613213 113.61858344620511]","[0.49597523287824435 1.0118802969751644 0.32932613888736445]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[1 2 0]","[446 467 414]"
"19","3","239","[37 37 37]","[0.3 0.31 0.33]","[0.5299999999999998 0.5749999999999997 0.5383333333333331]","[73.2296206200315 75.88148112080468 76.01192299775197]","[130.11450550565118 132.26027470529255 132.23124335242662]","[0.3333333333333333 0.47833333333333333 0.385]","[0.41 0.2966666666666667 0.375]","[0.23166666666666666 0.19 0.19833333333333333]","[0.025 0.035 0.041666666666666664]","[118.20205227284978 115.37853023610512 115.25041086738732]","[0.4418657763156598 0.5556883232537457 0.5689255896784081]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[3 2 1]","[434 432 436]"
"20","3","239","[37 37 37]","[0.4 0.38 0.41]","[0.5249999999999999 0.5083333333333333 0.5150000000000001]","[85.52688572757745 80.7653653014382 80.74664670417795]","[131.89409029105454 129.23115664149302 130.8579067794753]","[0.3566666666666667 0.51 0.305]","[0.3283333333333333 0.22666666666666666 0.425]","[0.255 0.20833333333333334 0.24333333333333335]","[0.06 0.055 0.02666666666666667]","[105.76242038247149 110.73697550057568 110.6255540867974]","[0.4066324724964595 0.3227526299654331 0.6291985886812947]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 0 1]","[425 430 407]"
"21","3","239","[37 37 37]","[0.32 0.34 0.33]","[0.5550000000000002 0.5450000000000004 0.5333333333333332]","[84.39538408312742 82.68875955810775 78.28068332805941]","[133.5165575972647 130.67226491511164 132.2274940753495]","[0.32166666666666666 0.3883333333333333 0.355]","[0.44333333333333336 0.4166666666666667 0.345]","[0.22333333333333333 0.18333333333333332 0.25]","[0.011666666666666667 0.011666666666666667 0.05]","[106.76412464242476 108.6982925820166 112.98195047924604]","[0.640965531345954 0.3982247832641504 0.7522766108654195]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 1 0]","[406 454 402]"
