"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"nu_of_neighborhoods_4_6_8"
"06/06/2021 23:04:33:614 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"19","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.3325","0.5489285714285717","60.107505616523135","26.883765632774196","0.09883480356718195","130.60113257448975"
"20","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.3075","0.5364285714285715","54.82127955118496","30.701129673950625","0.08476132368548123","128.62470170089327"
"22","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","43","0.3175","0.544285714285714","55.908250751205564","31.427859674255746","0.10280812967361896","131.07060605732107"
"23","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.3525","0.5496428571428571","59.96708878742171","27.739704669434243","0.13118061987212","131.0466073198195"
"21","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","55","0.27","0.5585714285714287","43.625833571059275","44.323571395514506","0.11114033902129705","131.87482506481183"
"24","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","40","0.3375","0.5499999999999998","60.27537705782126","27.27221046596121","0.12096162997699055","131.02118059490437"
"25","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.325","0.5517857142857143","59.7861277066722","27.60966460951233","0.10948667298916633","131.00613276045476"
"26","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.3275","0.5371428571428574","59.97942420566532","27.19845109646106","0.09602979665795318","130.92969278211868"
"27","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.325","0.5407142857142859","59.51394648701743","26.627223148120855","0.09146286373568985","129.45394265088163"
"28","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.305","0.5514285714285716","59.508703033666684","26.109937030265712","0.08521125365417533","128.78719325528942"
