"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-09.nlogo"
"nu_of_neighborhoods_4_5_6"
"06/13/2021 23:36:18:481 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"2","0.002","7","false","0.02","4","3","600","false","high temperature rise","0.01","4","10","239","40","0.315","0.5416666666666665","77.39287086015129","108.44296247318205","2.3198849223054965","131.43563488722342"
"5","0.002","7","false","0.02","4","3","600","false","high temperature rise","0.01","4","10","239","40","0.35750000000000004","0.5487500000000001","80.69362690008057","105.14220643325277","2.3076257069162964","131.68081919500742"
"6","0.002","7","false","0.02","4","3","600","false","high temperature rise","0.01","4","10","239","40","0.32999999999999996","0.5458333333333334","77.62692684700798","108.20890648632559","2.3521190195577533","130.79095294217828"
"7","0.002","7","false","0.02","4","3","600","false","high temperature rise","0.01","4","10","239","40","0.415","0.514583333333333","83.1634216012688","102.67241173206486","2.290238974187436","132.02855384958463"
"1","0.002","7","false","0.02","4","3","600","false","high temperature rise","0.01","4","10","239","40","0.45749999999999996","0.499166666666667","84.15272755829128","101.68310577504195","2.304321188921992","131.7469095548935"
"3","0.002","7","false","0.02","4","3","600","false","high temperature rise","0.01","4","10","239","40","0.3375","0.55375","79.330332035301","106.50550129803219","2.3464808793734235","130.90371574586487"
"4","0.002","7","false","0.02","4","3","600","false","high temperature rise","0.01","4","10","239","40","0.2","0.561666666666667","67.57984139849313","118.25599193484031","2.4056476698972533","129.72037993538828"
"8","0.002","7","false","0.02","4","3","600","false","high temperature rise","0.01","4","10","239","40","0.3775","0.541666666666667","81.31487379283925","104.52095954049403","2.274179644258058","132.34974044817218"
"9","0.002","7","false","0.02","4","3","600","false","high temperature rise","0.01","4","10","239","40","0.405","0.5345833333333334","81.40401666475235","104.43181666858129","2.223912292581184","133.35508748170966"
"11","0.002","7","false","0.02","4","3","600","false","high temperature rise","0.01","4","10","239","40","0.3975","0.5274999999999999","83.50551909926148","102.33031423407185","2.223976801174757","133.3537973098382"
"10","0.002","7","false","0.02","4","3","600","false","high temperature rise","0.01","4","10","239","40","0.41000000000000003","0.523333333333333","81.4978585432981","104.33797479003537","2.378320428060492","130.2669247721235"
"12","0.002","7","false","0.02","4","3","600","false","high temperature rise","0.01","4","10","239","40","0.4025000000000001","0.5320833333333335","82.36289351725281","103.47293981608091","2.260894494391232","132.6154434455087"
"13","0.002","7","false","0.02","4","3","600","false","high temperature rise","0.01","4","10","239","40","0.30250000000000005","0.5474999999999999","76.4681606549725","109.36767267836117","2.2723805737215415","132.3857218589025"
"14","0.002","7","false","0.02","4","3","600","false","high temperature rise","0.01","4","10","239","40","0.365","0.5474999999999999","74.58235624970806","111.25347708362544","2.2355024759580404","133.12328381417254"
"15","0.002","7","false","0.02","4","3","600","false","high temperature rise","0.01","4","10","239","40","0.38499999999999995","0.5233333333333334","79.07678306938624","106.75905026394696","2.312693357622297","131.5794661808874"
