"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"nu_of_neighborhoods_3_4_5_6"
"06/22/2021 14:06:56:710 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","no-of-neighborhoods","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump"
"11","3","239","[37 37 37]","[15 15 15]","[0.36 0.36 0.25]","[89.59953490608784 91.08881715352747 89.21127864754047]","[139.0077066008118 137.05644070731876 138.60483234085805]","[0.395 0.5466666666666666 0.5583333333333333]","[0.30333333333333334 0.235 0.265]","[0.22333333333333333 0.155 0.14833333333333334]","[0.07833333333333334 0.06333333333333334 0.028333333333333332]","[72.21484856584739 70.88166758988707 72.63533476519098]","[1.2196086303735183 0.5414001915106247 0.4443609233857315]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[1 3 4]","[360 401 410]"
"13","3","239","[37 37 37]","[15 15 15]","[0.34 0.37 0.4]","[91.29039515771012 93.6068137831193 91.82379356923467]","[141.14876510183407 142.7132589982657 138.46474528762653]","[0.35833333333333334 0.4066666666666667 0.35]","[0.35 0.3516666666666667 0.27666666666666667]","[0.2633333333333333 0.225 0.3383333333333333]","[0.028333333333333332 0.016666666666666666 0.035]","[70.35270363414314 67.9111254970196 70.0340268077551]","[0.8465142783949813 0.6234945896069873 0.7351232071667356]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[1 3 3]","[347 372 379]"
"12","3","239","[37 37 37]","[15 14 15]","[0.3 0.38 0.47]","[90.62829961430064 91.30872411299953 95.90197802086401]","[139.02034545188437 137.6316770482131 142.69276459264609]","[0.405 0.6266666666666667 0.38333333333333336]","[0.37166666666666665 0.19666666666666666 0.23833333333333334]","[0.20833333333333334 0.16166666666666665 0.31166666666666665]","[0.015 0.015 0.06666666666666667]","[71.18507274954872 70.61574172314342 65.6176008117244]","[0.6725790360673953 0.6528017043174584 0.8792347491002747]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[2 0 1]","[432 396 351]"
"14","3","239","[37 37 37]","[15 14 15]","[0.31 0.54 0.27]","[89.48037630390691 95.32538763205926 87.02473189621865]","[137.7080400598905 140.44597710268326 135.5663011245507]","[0.3566666666666667 0.36 0.425]","[0.3933333333333333 0.30833333333333335 0.28833333333333333]","[0.24333333333333335 0.285 0.24]","[0.006666666666666667 0.04666666666666667 0.04666666666666667]","[72.43798049130191 66.37393419972612 75.06496401381732]","[0.9221137876917951 1.0066649178923446 0.8444120665901084]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[3 4 1]","[367 317 396]"
"15","3","239","[37 37 37]","[15 15 15]","[0.31 0.33 0.61]","[91.20835307536275 91.20342248295331 98.9740767015703]","[138.5837560841571 138.3937888380752 143.78945234421872]","[0.4683333333333333 0.385 0.25166666666666665]","[0.31166666666666665 0.31833333333333336 0.2683333333333333]","[0.18833333333333332 0.255 0.41]","[0.03166666666666667 0.041666666666666664 0.07]","[70.63994643790474 70.66007441000073 62.45776711089229]","[0.4792516007363457 1.1008241751101093 1.1914953766974024]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[3 1 3]","[408 388 330]"
"16","3","239","[37 37 37]","[15 14 15]","[0.31 0.53 0.28]","[91.22845779216526 97.39955334745221 90.3532739708538]","[138.25202321087494 142.11046425563475 140.13620124019073]","[0.49666666666666665 0.4166666666666667 0.35833333333333334]","[0.29833333333333334 0.31833333333333336 0.41333333333333333]","[0.185 0.24166666666666667 0.21333333333333335]","[0.02 0.023333333333333334 0.015]","[70.64638035096473 64.16660951209701 71.37082992993095]","[0.3737350245408916 0.5744096796486404 0.706281014071402]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[4 1 3]","[427 343 394]"
"17","3","239","[37 37 37]","[14 15 15]","[0.4 0.5 0.23]","[92.3286976972999 94.58495437217123 88.03722346035033]","[140.96383433408025 138.53737774367636 138.4298390253921]","[0.465 0.41833333333333333 0.345]","[0.3 0.16333333333333333 0.4033333333333333]","[0.19 0.3433333333333333 0.23166666666666666]","[0.045 0.075 0.02]","[69.3291955559738 67.26705540833458 73.8233894176186]","[0.6253726764949307 1.0758895002425135 0.8685480373322548]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[2 1 2]","[392 323 404]"
"18","3","239","[37 37 37]","[15 15 14]","[0.19 0.46 0.55]","[86.38190005056569 92.5642104511072 96.04527922760614]","[135.22398385981833 140.20787424697875 139.58816133660153]","[0.3516666666666667 0.31833333333333336 0.3466666666666667]","[0.4166666666666667 0.31166666666666665 0.325]","[0.22166666666666668 0.315 0.26666666666666666]","[0.01 0.055 0.06166666666666667]","[75.73518124064898 69.15415960913441 65.72266786546582]","[1.0778403617129038 1.2319186165874565 0.7137844677725413]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[2 1 2]","[411 348 339]"
"19","3","239","[37 37 37]","[14 14 15]","[0.52 0.53 0.25]","[92.3495956546818 94.81855930691829 90.7618677217261]","[139.7195784170467 142.09085371843435 142.85122678300925]","[0.395 0.4166666666666667 0.5016666666666667]","[0.31833333333333336 0.19666666666666666 0.31833333333333336]","[0.2633333333333333 0.27666666666666667 0.15666666666666668]","[0.023333333333333334 0.11 0.023333333333333334]","[69.4078380719546 66.74917239560689 70.74503413563309]","[1.2636637650139138 1.1585210934120587 0.8621401346309704]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[0 1 1]","[328 314 421]"
"20","3","239","[37 37 37]","[15 15 15]","[0.27 0.32 0.36]","[90.58572454018143 93.24244632310915 91.54529356941569]","[141.31802552116704 142.19225066540216 137.2300722141749]","[0.5866666666666667 0.485 0.37166666666666665]","[0.26 0.26666666666666666 0.37166666666666665]","[0.13333333333333333 0.21333333333333335 0.23666666666666666]","[0.02 0.035 0.02]","[71.0438334181253 68.31717362365863 70.4113006534502]","[0.3734261068591504 0.5083313616231458 1.3003448841443968]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[5 1 5]","[417 403 381]"
