"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"gas_price_increase_0005-002"
"06/07/2021 00:25:28:882 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"28","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.312","0.5402857142857145","50.8944679086304","17.40114998547961","0.13456055188714375","130.15863991463814"
"29","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","77.8","0.354","0.5331428571428574","55.30761019748","14.831180731790276","0.09254786053322306","134.41023562663707"
"30","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.31600000000000006","0.5414285714285718","50.840271603449736","17.34541183757545","0.13446643550069837","129.9474444447479"
"31","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.32599999999999996","0.5574285714285714","59.07505902602855","27.728705524463987","0.11909342552610697","129.911121132335"
"32","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.33799999999999997","0.5380000000000003","59.81889864842011","26.819872414041722","0.09292469917325122","130.17289119510625"
"33","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.358","0.5508571428571427","60.50901623170714","27.399520229958387","0.11959827308441931","131.59475840735934"
"34","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","63.4","0.438","0.5179999999999998","61.75663583635301","27.127423862939832","0.09425162323065024","133.60151838856115"
"35","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.342","0.5385714285714287","59.86948328259663","27.211271501487094","0.09822468112755872","130.7304358814166"
"36","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.336","0.5351428571428571","59.62860559659975","27.146249388022362","0.10345044792228464","130.16924225187165"
"38","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.324","0.5471428571428572","59.973119059727736","27.140824853522126","0.08738703274884047","131.01490182518214"
